English,Urdu
i dont mind waiting,مجھے انتظار کرنے میں کوئی اعتراض نہیں ہے۔
that is an utter nonsense,یہ سراسر بکواس ہے
we need to leave,ہمیں چھوڑنے کی ضرورت ہے
i am not done with you,میں نے آپ کے ساتھ نہیں کیا
i need more blankets,مجھے مزید کمبل کی ضرورت ہے۔
i will surprise tom,میں ٹام کو حیران کر دوں گا۔
i love chinese food,مجھے چینی کھانا پسند ہے۔
how could that happen,یہ کیسے ہو سکتا ہے
you are the experts,آپ ماہر ہیں
zain is quite crazy,زین کافی پاگل ہے
how sad,کتنا افسوسناک ہے
i feel great,مجھے اچھا لگ رہا ہے
he is guilty of theft,وہ چوری کا مجرم ہے
zain is working late,زین دیر سے کام کر رہا ہے۔
i make a day,میں ایک دن بناتا ہوں۔
you should be proud,آپ کو فخر ہونا چاہئے
i miss my old job,مجھے اپنی پرانی نوکری یاد آتی ہے۔
i think i am crazy,مجھے لگتا ہے کہ میں پاگل ہوں
i will kill him,میں اسے مار ڈالوں گا۔
we just finished,ہم نے ابھی ختم کیا
zain is sad,زین اداس ہے
this is not true,یہ سچ نہیں ہے۔
i will check the list,میں فہرست چیک کروں گا۔
zain drank the potion,زین نے دوائی پی لی
they were perfect,وہ کامل تھے
zain wont stop,زین نہیں رکے گا
this is sick,یہ بیمار ہے
this books new,یہ کتابیں نئی
are you ready to eat,کیا آپ کھانے کے لیے تیار ہیں؟
do you want to go for a walk later,کیا آپ بعد میں سیر کے لیے جانا چاہتے ہیں؟
everyones asleep,سب سو رہے ہیں
i think zain is a liar,میرے خیال میں زین جھوٹا ہے۔
do you know my father,کیا آپ میرے والد کو جانتے ہیں؟
he is playing tetris,وہ ٹیٹریس کھیل رہا ہے۔
do you know me,تم پتا ہا ما تمریا کٹنی عزت کرتا ہو۔
they appear dead,وہ مردہ نظر آتے ہیں
whens dinner,رات کا کھانا کب
my place is here,میری جگہ یہاں ہے
i am baking bread,میں روٹی بنا رہا ہوں۔
i traveled on foot,میں نے پیدل سفر کیا۔
zain impressed me,زین نے مجھے متاثر کیا۔
thats a big problem,یہ ایک بڑا مسئلہ ہے
i am so cold,میں بہت ٹھنڈا ہوں
i guess you are right,میرا اندازہ ہے کہ آپ صحیح ہیں۔
thats part of it,اس کا حصہ ہے
i will eat the apple,میں سیب کھاؤں گا۔
you should marry tom,آپ کو ٹام سے شادی کرنی چاہیے۔
do you have a match,کیا آپ کے پاس میچ ہے؟
this is justified,یہ جائز ہے
should i rest for a while,کیا مجھے تھوڑی دیر آرام کرنا چاہیے؟
my study is upstairs,میرا مطالعہ اوپر ہے
zain is slowing down,زین سست ہو رہا ہے
the test is at pm,امتحان pm پر ہے
they are wonderful,وہ شاندار ہیں
zain has a nice smile,زین کی مسکراہٹ اچھی ہے۔
dont touch the glass,شیشے کو مت چھونا۔
zain is an employee,زین ایک ملازم ہے۔
he weighs kilos,اس کا وزن کلو ہے
i will think it over,میں اس پر غور کروں گا۔
we try our best,ہم اپنی پوری کوشش کرتے ہیں
zains confused,زین الجھن میں ہے
please say something,براہ کرم کچھ کہو
be nice to your mom,اپنی ماں کے ساتھ اچھا سلوک کرو
i must be leaving now,مجھے ابھی جانا ہوگا
you are successful,تم کامیاب ہو
you will not be able to deal with him,تم اس کے ساتھ نمٹنے کے قابل نہیں ہو گا
it may be true,یہ سچ ہو سکتا ہے
i am really upset,میں واقعی پریشان ہوں
go and wake zain up,جاؤ اور زین کو جگاؤ
i asked zain to sing,میں نے زین سے گانے کو کہا
no problem at all,کوئی مسئلہ نہیں
it never existed,یہ کبھی موجود نہیں تھا
that sounds great,اچھا ہے
its a spanish book,یہ ایک ہسپانوی کتاب ہے
are you feeling tired,کیا آپ تھکاوٹ محسوس کر رہے ہیں؟
zain was distressed,زین پریشان تھا
get me out of here,مجھے یہاں سے نکالو
he called me a cab,اس نے مجھے ٹیکسی بلایا
zain said goodnight,زین نے کہا شب بخیر
drive slowly,اہستہ چلائیں
no kidding,مذاق نہیں
did you call me,کیا تم نے مجھے بلایا
who wrote this poem,جس نے یہ نظم لکھی ہے۔
i hurt my shoulder,میں نے اپنے کندھے پر چوٹ لگائی
my mother is a nurse,میری ماں ایک نرس ہے
we went to a superlative restaurant,ہم ایک بہترین ریستوراں میں گئے۔
we are doomed,ہم برباد ہیں
come at once,ایک دم آو
that is dirt cheap,یہ گندگی سستی ہے
i like to eat,مجھے کھانا کھانا پسند ھے
this is my desk,یہ میری میز ہے
zain isnt like me,زین میری طرح نہیں ہے۔
do you feel better,کیا تم بہتر محسوس کر رہے ہو
read this,اسے پڑھو
you were happy,تم خوش تھے
we cant lose,ہم ہار نہیں سکتے
he is english,وہ انگریز ہے
i am a romantic person,میں ایک رومانوی شخص ہوں۔
what happened here,یہاں کیا ہوا ہے
i never saw her again,میں نے اسے دوبارہ کبھی نہیں دیکھا
i wonder who they are,مجھے حیرت ہے کہ وہ کون ہیں۔
everyones busy,سب مصروف ہیں
he used to read a lot,وہ بہت پڑھتا تھا
i like boys like that,مجھے ایسے لڑکے پسند ہیں۔
this isnt legal,یہ قانونی نہیں ہے
just keep moving,بس چلتے رہو
my dog needs a walk,میرے کتے کو چہل قدمی کی ضرورت ہے۔
i am the law,میں قانون ہوں
they were hungry,وہ بھوکے تھے
dont touch my camera,میرے کیمرے کو مت چھونا۔
everybody needs one,سب کو ایک کی ضرورت ہے
what is wrong tom,کیا غلط ہے ٹام
zain didnt tell me,زین نے مجھے نہیں بتایا
i owe you something,میں آپ کا کچھ مقروض ہوں۔
your skin is so soft,آپ کی جلد بہت نرم ہے
they wont find you,وہ آپ کو تلاش نہیں کریں گے
she has many friends,بہت سے دوست ہیں
i like watching tv,مجھے ٹی وی دیکھنا پسند ہے۔
we should sit down,ہمیں بیٹھنا چاہئے
its a cruel world,یہ ایک ظالم دنیا ہے
she picked up a coin,اس نے ایک سکہ اٹھایا
he lacks confidence,اس کے پاس اعتماد کی کمی ہے
i am extremely sorry,مجھے انتہائی افسوس ہے۔
can his story be true,کیا اس کی کہانی سچ ہو سکتی ہے؟
i accept the offer,میں پیشکش قبول کرتا ہوں۔
go to work tom,ٹام کام پر جاؤ
i like it,مجھے یہ پسند ہے
this is ugly,یہ بدصورت ہے
i wanted red shoes,مجھے سرخ جوتے چاہیے تھے۔
zain was busy,زین مصروف تھا
i feel worse today,میں آج برا محسوس کر رہا ہوں۔
you are great,تم بہت اچھے ہو!
she kicked the door,اس نے دروازے پر لات ماری
i made a list,میں نے ایک فہرست بنائی
i am afraid of dogs,میں کتوں سے ڈرتا ہوں۔
zain went pale,زین پیلا ہو گیا
the light was on,روشنی آن تھی
they stopped walking,انہوں نے چلنا چھوڑ دیا
come back here,یہاں واپس آو
zain shut his eyes,زین نے آنکھیں بند کر لیں۔
she kicked him hard,اس نے اسے زور سے مارا
i am listening to your rubbish only because of your father,میں صرف تمہارے باپ کی وجہ سے تمہاری بکواس سن رہا ہوں۔
lets see some id,آئیے کچھ آئی ڈی دیکھتے ہیں۔
tom asked mary why she was smiling,ٹام نے مریم سے پوچھا کہ وہ کیوں ہنس رہی ہے۔
zain is a prisoner,زین ایک قیدی ہے۔
bring your computer,اپنا کمپیوٹر لائیں
why is sweat salty,پسینہ نمکین کیوں ہے؟
do you have a moment,کیا آپ کے پاس ایک لمحہ ہے؟
zain never listens,زین کبھی نہیں سنتا۔
i am broke,میں ٹوٹ گیا ہوں
i have to find tom,مجھے ٹام کو تلاش کرنا ہے۔
zain is sneezing,زین کو چھینک آ رہی ہے
you are an artist,آپ ایک فنکار ہیں
arent you a priest,آپ پادری نہیں ہیں؟
i want a lot more,میں بہت زیادہ چاہتا ہوں۔
i know where they are,میں جانتا ہوں کہ وہ کہاں ہیں۔
i said nothing,میں نے کچھ نہیں کہا
here are the keys,یہاں چابیاں ہیں
i have tried,میں نے کوشش کی ہے۔
they love coffee,وہ کافی سے محبت کرتے ہیں
he is going blind,وہ اندھا ہو رہا ہے
he is his own master,وہ اپنا مالک ہے
she has a book,اس کے پاس ایک کتاب ہے۔
tom hopes mary won't die,ٹام امید کر رہا ہے کہ مریم نہیں مرے گی۔
it is bad weather,یہ خراب موسم ہے
does it work,کیا یہ کام کرتا ہے
they are drenched,وہ بھیگ گئے ہیں
how did it end,یہ کیسے ختم ہوا
i must convince tom,مجھے ٹام کو قائل کرنا ہوگا۔
wheres my room,میرا کمرہ کہاں ہے
i am looking for tom,m khana paka raha hu
he advised caution,انہوں نے احتیاط کا مشورہ دیا
its dangerous here,یہ یہاں خطرناک ہے
can i eat this orange,کیا میں یہ اورنج کھا سکتا ہوں؟
i am pressing charges,میں چارجز دبا رہا ہوں۔
i exaggerated,میں نے مبالغہ آرائی کی۔
isnt his name tom,اس کا نام ٹام نہیں ہے۔
i am a free man,میں ایک مَرد ہوں۔
do you enjoy it,کیا آپ کو مز ہ آ یا
i cant talk to girls,میں لڑکیوں سے بات نہیں کر سکتا
zain has it made,زین نے بنایا ہے۔
he is very lonely,وہ بہت تنہا ہے
are you sick of me,کیا آپ مجھ سے بیمار ہیں؟
they are in danger,وہ خطرے میں ہیں
she almost fainted,وہ تقریبا بے ہوش ہو گیا
were unlucky,بدقسمت تھے
could i change rooms,کیا میں کمرے بدل سکتا ہوں؟
wheres my pizza,میرا پیزا کہاں ہے
her father died,اس کا باپ مر گیا
its raining,بارش ہو رہی ہے
we're eating dinner outdoors,ہم رات کا کھانا باہر کھا رہے ہیں۔
that was the trouble,یہ مصیبت تھی
zain has seen it too,زین نے بھی دیکھا ہے
get ready quickly,جلدی سے تیار ہو جاؤ
i already know,میں نے پہلے ہی جانتے ہیں
how adventurous,کتنا بہادر
lets discuss it now,اب اس پر بحث کرتے ہیں
zain saved the day,زین نے دن بچایا
it was chilly,یہ ٹھنڈا تھا
i like your hair,مجھے آپ کے بال پسند ہیں۔
the house is on fire,گھر میں آگ لگ گئی ہے
whose book is that,یہ کس کی کتاب ہے؟
please dont mind me,براہ کرم مجھے برا نہ ماننا
hello,سلام
i am still hungry,میں اب بھی بھوکا ہوں
i like my life,مجھے اپنی زندگی پسند ہے۔
get out of my way,میرے راستے سے ہٹ جاؤ
let it be,رہنے دو
his presence baffled everyone,اس کی موجودگی نے سب کو حیران کر دیا
my room is on the second floor,میرا کمرہ دوسری منزل پر ہے۔
lets try it,آؤ اس کو آزماتے ہیں
i hate french,مجھے فرانسیسی سے نفرت ہے
do you live here,کیا تم یہاں رہتے ہو
do you believe tom,کیا آپ ٹام پر یقین رکھتے ہیں؟
that is a boat,یہ ایک کشتی ہے
when do you run,آپ کب دوڑتے ہیں؟
what gives,کیا دیتا ہے
zains so old,زین اتنے پرانے
may i go,کیا میں جا سکتا ہوں
zain has a potbelly,زین کا پیٹ ہے
do you know zain well,کیا تم زین کو اچھی طرح جانتے ہو؟
then what happened,پھر کیا ھوا
i want to quit,میں چھوڑنا چاہتا ہوں۔
do you run every day,کیا آپ ہر روز دوڑتے ہیں؟
zain never had doubts,زین کو کبھی شک نہیں ہوا۔
come and take a look,آؤ اور ایک نظر ڈالو
we should go,ہمیں جانا چاہیئے
i made it,میں نے اسے بنایا
he hates spiders,وہ مکڑیوں سے نفرت کرتا ہے۔
its raining outside,باہر بارش ہو رہی ہے
please dont do that,براہ کرم ایسا نہ کریں۔
did zain lie to mary,زین نے مریم سے جھوٹ بولا
who wants to know,کون جاننا چاہتا ہے
how do you milk a cow,آپ گائے کو دودھ کیسے دیتے ہیں
